Date,Mark/Gold
1918-11-15,1.7513134851138354
1918-11-16,1.7513134851138354
1918-11-17,1.7513134851138354
1918-11-18,1.7513134851138354
1918-11-19,1.7513134851138354
1918-11-20,1.7513134851138354
1918-11-21,1.7513134851138354
1918-11-22,1.7513134851138354
1918-11-23,1.7513134851138354
1918-11-24,1.7513134851138354
1918-11-25,1.7513134851138354
1918-11-26,1.7513134851138354
1918-11-27,1.7513134851138354
1918-11-28,1.7513134851138354
1918-11-29,1.7513134851138354
1918-11-30,1.7513134851138354
1918-12-01,2.0
1918-12-02,2.0
1918-12-03,2.0
1918-12-04,2.0
1918-12-05,2.0
1918-12-06,2.0
1918-12-07,2.0
1918-12-08,2.0
1918-12-09,2.0
1918-12-10,2.0
1918-12-11,2.0
1918-12-12,2.0
1918-12-13,2.0
1918-12-14,2.0
1918-12-15,2.0
1918-12-16,2.0
1918-12-17,2.0
1918-12-18,2.0
1918-12-19,2.0
1918-12-20,2.0
1918-12-21,2.0
1918-12-22,2.0
1918-12-23,2.0
1918-12-24,2.0
1918-12-25,2.0
1918-12-26,2.0
1918-12-27,2.0
1918-12-28,2.0
1918-12-29,2.0
1918-12-30,2.0
1918-12-31,2.0
1919-01-01,1.9493177387914231
1919-01-02,1.9493177387914231
1919-01-03,1.9493177387914231
1919-01-04,1.9493177387914231
1919-01-05,1.9493177387914231
1919-01-06,1.9493177387914231
1919-01-07,1.9493177387914231
1919-01-08,1.9493177387914231
1919-01-09,1.9493177387914231
1919-01-10,1.9493177387914231
1919-01-11,1.9493177387914231
1919-01-12,1.9493177387914231
1919-01-13,1.9493177387914231
1919-01-14,1.9493177387914231
1919-01-15,1.9493177387914231
1919-01-16,1.9493177387914231
1919-01-17,1.9493177387914231
1919-01-18,1.9493177387914231
1919-01-19,1.9493177387914231
1919-01-20,1.9493177387914231
1919-01-21,1.9493177387914231
1919-01-22,1.9493177387914231
1919-01-23,1.9493177387914231
1919-01-24,1.9493177387914231
1919-01-25,1.9493177387914231
1919-01-26,1.9493177387914231
1919-01-27,1.9493177387914231
1919-01-28,1.9493177387914231
1919-01-29,1.9493177387914231
1919-01-30,1.9493177387914231
1919-01-31,1.9493177387914231
1919-02-01,2.150537634408602
1919-02-02,2.150537634408602
1919-02-03,2.150537634408602
1919-02-04,2.150537634408602
1919-02-05,2.150537634408602
1919-02-06,2.150537634408602
1919-02-07,2.150537634408602
1919-02-08,2.150537634408602
1919-02-09,2.150537634408602
1919-02-10,2.150537634408602
1919-02-11,2.150537634408602
1919-02-12,2.150537634408602
1919-02-13,2.150537634408602
1919-02-14,2.150537634408602
1919-02-15,2.150537634408602
1919-02-16,2.150537634408602
1919-02-17,2.150537634408602
1919-02-18,2.150537634408602
1919-02-19,2.150537634408602
1919-02-20,2.150537634408602
1919-02-21,2.150537634408602
1919-02-22,2.150537634408602
1919-02-23,2.150537634408602
1919-02-24,2.150537634408602
1919-02-25,2.150537634408602
1919-02-26,2.150537634408602
1919-02-27,2.150537634408602
1919-02-28,2.150537634408602
1919-03-01,2.5
1919-03-02,2.5
1919-03-03,2.5
1919-03-04,2.5
1919-03-05,2.5
1919-03-06,2.5
1919-03-07,2.5
1919-03-08,2.5
1919-03-09,2.5
1919-03-10,2.5
1919-03-11,2.5
1919-03-12,2.5
1919-03-13,2.5
1919-03-14,2.5
1919-03-15,2.5
1919-03-16,2.5
